20201110_075940 0101 HK2 :False
20201110_075941 0102 HK2 :0002012b t56224.0 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_075941 0103 HK2 :0002013b t56224.4 S VM-127.0 RM 33.4 VE-66.0 RE 36.7 RS 32.0 P018 E0000 FX20 M0 A0
20201110_075941 0201 HK2 :0002021b t56217.7 S VM-127.0 RM 30.8 VE-66.0 RE 49.9 RS 43.0 P159 E0006 FX20 M56 A1
20201110_075942 0202 HK2 :0002022b t56218.1 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_075942 0203 HK2 :0002023b t56218.4 S VM-127.0 RM 45.3 VE-66.0 RE 37.6 RS 43.0 P163 E0000 FX20 M49 A1
20201110_075942 0301 HK2 :0002031b t56199.7 S VM-127.0 RM 56.6 VE-66.0 RE 55.7 RS 43.0 P000 E0004 FX21 M71 A8
20201110_075944 0302 HK2 :0002032b t56200.8 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_075945 0303 HK2 :0002033b t56201.8 S VM-127.0 RM 35.5 VE-66.0 RE 35.2 RS 43.0 P999 E0000 FX22 M62 A3
20201110_075945 0401 HK2 :0002041b t56194.3 S VM-127.0 RM 45.4 VE-66.0 RE 40.5 RS 43.0 P199 E0006 FX20 M51 A1
20201110_075946 0402 HK2 :0002042b t56194.7 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_075947 0403 HK2 :0002043b t56195.9 S VM-127.0 RM 23.0 VE-66.0 RE 42.6 RS 43.0 P146 E0000 FX20 M49 A1
20201110_075947 0501 HK2 :0002051b t56207.1 S VM-127.0 RM 54.5 VE-66.0 RE 52.5 RS 43.0 P182 E0006 FX20 M56 A1
20201110_075947 0502 HK2 :0002052b t56207.5 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_075948 0503 HK2 :0002053b t56208.5 S VM-127.0 RM 54.1 VE-66.0 RE 52.9 RS 43.0 P214 E0000 FX20 M52 A1
20201110_075949 0601 HK2 :0002061b t56292.1 S VM-127.0 RM 38.8 VE-66.0 RE 48.2 RS 43.0 P081 E0000 FX20 M65 A1
20201110_075950 0602 HK2 :0002062b t56292.7 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_075950 0603 HK2 :0002063b t56293.3 S VM-127.0 RM 55.4 VE-66.0 RE 54.2 RS 43.0 P401 E0000 FX20 M51 A1
20201110_075951 0701 HK2 :0002071b t56193.1 S VM-127.0 RM 22.5 VE-66.0 RE 48.5 RS 43.0 P084 E0004 FX20 M60 A1
20201110_075952 0702 HK2 :0002072b t56193.5 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_075953 0703 HK2 :0002073b t56195.3 S VM-127.0 RM 20.8 VE-66.0 RE 47.3 RS 43.0 P146 E0000 FX20 M52 A1
20201110_075955 0801 HK2 :0002081b t56201.7 S VM-127.0 RM 21.0 VE-66.0 RE 49.3 RS 43.0 P082 E0000 FX20 M65 A1
20201110_075956 0802 HK2 :0002082b t56202.2 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_075957 0803 HK2 :0002083b t56203.2 S VM-127.0 RM 23.0 VE-66.0 RE 44.4 RS 43.0 P097 E0004 FX20 M57 A1
20201110_075957 0901 HK2 :0002091b t56215.3 S VM-127.0 RM 23.7 VE-66.0 RE 44.3 RS 43.0 P126 E0000 FX20 M57 A1
20201110_075957 0902 HK2 :0002092b t56215.8 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_075958 0903 HK2 :0002093b t56216.2 S VM-127.0 RM 23.8 VE-66.0 RE 40.3 RS 43.0 P157 E0000 FX20 M50 A1
20201110_075958 0A01 HK2 :00020A1b t56204.3 S VM-127.0 RM 42.2 VE-66.0 RE 44.3 RS 43.0 P112 E0000 FX20 M56 A1
20201110_075959 0A02 HK2 :00020A2b t56205.4 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080000 0A03 HK2 :00020A3b t56205.8 S VM-127.0 RM 42.8 VE-66.0 RE 48.6 RS 43.0 P119 E0004 FX20 M62 A1
20201110_080000 0B01 HK2 :00020B1b t56235.3 S VM-127.0 RM 40.2 VE-66.0 RE 40.8 RS 43.0 P163 E0004 FX20 M53 A1
20201110_080001 0B02 HK2 :00020B2b t56236.5 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080002 0B03 HK2 :00020B3b t56237.0 S VM-127.0 RM 32.3 VE-66.0 RE 37.8 RS 43.0 P150 E0000 FX20 M52 A1
20201110_080003 0C01 HK2 :00020C1b t55334.5 S VM-127.0 RM 54.3 VE-66.0 RE 53.7 RS 43.0 P018 E0000 FX20 M67 A14
20201110_080003 0C02 HK2 :00020C2b t55334.8 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080004 0C03 HK2 :00020C3b t55335.3 S VM-127.0 RM 32.8 VE-66.0 RE 41.8 RS 43.0 P128 E0000 FX20 M48 A1
20201110_080005 0D01 HK2 :00020D1b t56229.3 S VM-127.0 RM 35.2 VE-66.0 RE 40.6 RS 43.0 P111 E0004 FX20 M56 A1
20201110_080005 0D02 HK2 :00020D2b t56229.7 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080006 0D03 HK2 :00020D3b t56230.1 S VM-127.0 RM 23.6 VE-66.0 RE 47.1 RS 43.0 P149 E0000 FX20 M52 A1
20201110_080007 0E01 HK2 :00020E1b t56207.3 S VM-127.0 RM 35.6 VE-66.0 RE 47.2 RS 43.0 P108 E0004 FX20 M59 A1
20201110_080008 0E02 HK2 :00020E2b t56208.3 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080009 0E03 HK2 :00020E3b t56209.3 S VM-127.0 RM 35.4 VE-66.0 RE 48.8 RS 43.0 P047 E0000 FX20 M58 A1
20201110_080009 0F01 HK2 :00020F1b t56213.6 S VM-127.0 RM 38.4 VE-66.0 RE 46.9 RS 43.0 P132 E0000 FX20 M64 A1
20201110_080009 0F02 HK2 :00020F2b t56213.9 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080010 0F03 HK2 :00020F3b t56214.3 S VM-127.0 RM 50.3 VE-66.0 RE 52.4 RS 43.0 P200 E0000 FX20 M61 A1
20201110_080011 1001 HK2 :0002101b t56257.8 S VM-127.0 RM 40.1 VE-66.0 RE 46.0 RS 43.0 P105 E0004 FX20 M50 A1
20201110_080011 1002 HK2 :0002102b t56258.4 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0006 FX20 M0 A0
20201110_080011 1003 HK2 :0002103b t56258.8 S VM-127.0 RM 38.7 VE-66.0 RE 42.2 RS 43.0 P106 E0000 FX20 M54 A1
20201110_080012 1101 HK2 :0002111b t56237.7 S VM-127.0 RM 30.8 VE-66.0 RE 39.8 RS 43.0 P152 E0006 FX20 M51 A1
20201110_080012 1102 HK2 :0002112b t56238.1 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080013 1103 HK2 :0002113b t56238.5 S VM-127.0 RM 29.0 VE-66.0 RE 40.8 RS 43.0 P144 E0000 FX20 M51 A1
20201110_080013 1201 HK2 :0002121b t56229.4 S VM-127.0 RM 54.2 VE-66.0 RE 50.1 RS 43.0 P520 E0004 FX20 M67 A1
20201110_080014 1202 HK2 :0002122b t56229.7 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080014 1203 HK2 :0002123b t56230.2 S VM-127.0 RM 39.3 VE-66.0 RE 42.8 RS 43.0 P104 E0000 FX20 M53 A1
20201110_080015 1E01 HK2 :00021E1b t56246.2 W VM 58.4 RM 55.0 VE 70.0 RE 54.9 RS 45.6 P000 E0005 FX44 M401 A0
20201110_080016 1E02 HK2 :00021E2b t56247.2 W VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P000 E0005 FX44 M40 A0
20201110_080017 1E03 HK2 :00021E3b t56248.3 W VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P000 E0001 FX44 M40 A0
20201110_080340 0101 HK2 :0002011b t56463.7 W VM-127.0 RM 32.0 VE 58.0 RE 32.0 RS 39.2 P036 E0006 FX20 M1 A0
20201110_080341 0102 HK2 :0002012b t56464.3 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080342 0103 HK2 :0002013b t56465.2 W VM-127.0 RM 33.5 VE 58.0 RE 33.4 RS 39.2 P045 E0000 FX20 M1 A0
20201110_080342 0201 HK2 :0002021b t56458.7 W VM-127.0 RM 36.9 VE 58.0 RE 33.5 RS 44.5 P233 E0006 FX20 M58 A1
20201110_080343 0202 HK2 :0002022b t56459.6 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080345 0203 HK2 :0002023b t56460.7 W VM-127.0 RM 45.3 VE 58.0 RE 45.3 RS 44.5 P163 E0000 FX20 M49 A1
20201110_080346 0301 HK2 :0002031b t56442.6 W VM-127.0 RM 56.8 VE 58.0 RE 56.8 RS 44.5 P000 E0004 FX20 M72 A8
20201110_080347 0302 HK2 :0002032b t56443.2 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080348 0303 HK2 :0002033b t56444.7 W VM-127.0 RM 35.6 VE 58.0 RE 35.6 RS 44.5 P999 E0000 FX22 M64 A5
20201110_080348 0401 HK2 :0002041b t56437.4 W VM-127.0 RM 48.4 VE 58.0 RE 48.1 RS 44.5 P195 E0006 FX20 M51 A1
20201110_080350 0402 HK2 :0002042b t56439.0 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080351 0403 HK2 :0002043b t56439.9 W VM-127.0 RM 25.6 VE 58.0 RE 22.0 RS 44.5 P289 E0000 FX20 M53 A1
20201110_080352 0501 HK2 :0002051b t56451.7 W VM-127.0 RM 53.0 VE 58.0 RE 53.6 RS 44.5 P138 E0006 FX20 M57 A1
20201110_080352 0502 HK2 :0002052b t56452.4 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080354 0503 HK2 :0002053b t56454.0 W VM-127.0 RM 53.3 VE 58.0 RE 53.6 RS 44.5 P171 E0000 FX20 M54 A1
20201110_080355 0601 HK2 :0002061b t56538.2 W VM-127.0 RM 38.4 VE 58.0 RE 38.4 RS 44.5 P109 E0000 FX20 M66 A1
20201110_080356 0602 HK2 :0002062b t56539.1 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080358 0603 HK2 :0002063b t56540.7 W VM-127.0 RM 55.3 VE 58.0 RE 55.4 RS 44.5 P349 E0000 FX20 M53 A1
20201110_080400 0701 HK2 :0002071b t56442.2 W VM-127.0 RM 22.8 VE 58.0 RE 22.9 RS 44.5 P226 E0004 FX20 M64 A1
20201110_080401 0702 HK2 :0002072b t56442.7 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080402 0703 HK2 :0002073b t56443.2 W VM-127.0 RM 21.6 VE 58.0 RE 19.9 RS 44.5 P305 E0000 FX20 M56 A1
20201110_080403 0801 HK2 :0002081b t56448.8 W VM-127.0 RM 21.3 VE 58.0 RE 21.4 RS 44.5 P235 E0000 FX20 M69 A1
20201110_080405 0802 HK2 :0002082b t56450.6 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080405 0803 HK2 :0002083b t56451.7 W VM-127.0 RM 22.8 VE 58.0 RE 23.3 RS 44.5 P235 E0004 FX20 M61 A1
20201110_080406 0901 HK2 :0002091b t56463.9 W VM-127.0 RM 20.1 VE 58.0 RE 21.1 RS 44.5 P269 E0000 FX20 M61 A1
20201110_080406 0902 HK2 :0002092b t56464.3 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080406 0903 HK2 :0002093b t56464.7 W VM-127.0 RM 20.2 VE 58.0 RE 20.1 RS 44.5 P304 E0000 FX20 M54 A1
20201110_080407 0A01 HK2 :00020A1b t56452.8 W VM-127.0 RM 41.3 VE 58.0 RE 41.8 RS 44.5 P112 E0000 FX20 M56 A1
20201110_080408 0A02 HK2 :00020A2b t56453.4 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080409 0A03 HK2 :00020A3b t56454.4 W VM-127.0 RM 41.8 VE 58.0 RE 42.4 RS 44.5 P119 E0004 FX20 M62 A1
20201110_080410 0B01 HK2 :00020B1b t56484.7 W VM-127.0 RM 41.1 VE 58.0 RE 40.6 RS 44.5 P179 E0004 FX20 M53 A1
20201110_080411 0B02 HK2 :00020B2b t56485.8 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080411 0B03 HK2 :00020B3b t56486.2 W VM-127.0 RM 40.5 VE 58.0 RE 34.4 RS 44.5 P215 E0000 FX20 M54 A1
20201110_080412 0C01 HK2 :00020C1b t55583.7 W VM-127.0 RM 54.4 VE 58.0 RE 54.4 RS 44.5 P000 E0000 FX21 M69 A15
20201110_080413 0C02 HK2 :00020C2b t55584.0 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080414 0C03 HK2 :00020C3b t55585.7 W VM-127.0 RM 32.9 VE 58.0 RE 32.8 RS 44.5 P198 E0000 FX20 M50 A1
20201110_080415 0D01 HK2 :00020D1b t56479.1 W VM-127.0 RM 33.9 VE 58.0 RE 35.2 RS 44.5 P163 E0004 FX20 M57 A1
20201110_080415 0D02 HK2 :False
20201110_080417 0D03 HK2 :00020D3b t56481.0 W VM-127.0 RM 30.9 VE 58.0 RE 26.8 RS 44.5 P273 E0000 FX20 M56 A1
20201110_080418 0E01 HK2 :00020E1b t56458.0 W VM-127.0 RM 35.7 VE 58.0 RE 35.6 RS 44.5 P157 E0004 FX20 M60 A1
20201110_080418 0E02 HK2 :00020E2b t56458.6 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080419 0E03 HK2 :00020E3b t56459.0 W VM-127.0 RM 35.7 VE 58.0 RE 35.6 RS 44.5 P098 E0000 FX20 M59 A1
20201110_080420 0F01 HK2 :00020F1b t56463.9 W VM-127.0 RM 38.4 VE 58.0 RE 38.4 RS 44.5 P161 E0000 FX20 M64 A1
20201110_080420 0F02 HK2 :00020F2b t56464.3 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0004 FX20 M0 A0
20201110_080420 0F03 HK2 :00020F3b t56464.7 W VM-127.0 RM 49.8 VE 58.0 RE 50.1 RS 44.5 P179 E0000 FX20 M62 A1
20201110_080422 1001 HK2 :0002101b t56509.0 W VM-127.0 RM 39.8 VE 58.0 RE 39.9 RS 44.5 P123 E0004 FX20 M50 A1
20201110_080423 1002 HK2 :0002102b t56510.1 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0006 FX20 M0 A0
20201110_080423 1003 HK2 :0002103b t56510.5 W VM-127.0 RM 38.5 VE 58.0 RE 38.7 RS 44.5 P134 E0000 FX20 M55 A1
20201110_080424 1101 HK2 :0002111b t56489.1 W VM-127.0 RM 23.0 VE 58.0 RE 23.3 RS 44.5 P262 E0006 FX20 M54 A1
20201110_080425 1102 HK2 :0002112b t56490.3 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080426 1103 HK2 :0002113b t56491.3 W VM-127.0 RM 33.1 VE 58.0 RE 22.8 RS 44.5 P263 E0000 FX20 M54 A1
20201110_080427 1201 HK2 :0002121b t56482.9 W VM-127.0 RM 54.3 VE 58.0 RE 54.3 RS 44.5 P475 E0004 FX20 M69 A1
20201110_080427 1202 HK2 :0002122b t56483.3 W VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P000 E0000 FX20 M0 A0
20201110_080428 1203 HK2 :0002123b t56483.7 W VM-127.0 RM 39.3 VE 58.0 RE 39.3 RS 44.5 P128 E0000 FX20 M53 A1
20201110_080428 1E01 HK2 :00021E1b t56498.9 W VM 57.9 RM 49.9 VE 70.0 RE 53.5 RS 45.6 P000 E0005 FX44 M403 A0
20201110_080428 1E02 HK2 :00021E2b t56499.3 W VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P000 E0005 FX44 M40 A0
20201110_080430 1E03 HK2 :False
