20201116_095636 0101 HK2 :0002011b t508341.4 S VM-127.0 RM 46.8 VE-127.0 RE 47.2 RS 44.0 P761 E0006 FX20 M340 A0
20201116_095636 0102 HK2 :0002012b t508342.1 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0005 FX44 M695 A0
20201116_095637 0103 HK2 :0002013b t508342.7 S VM-127.0 RM 46.1 VE-127.0 RE 50.1 RS 44.0 P466 E0004 FX20 M124 A0
20201116_095638 0201 HK2 :0002021b t582127.8 S VM-127.0 RM 47.7 VE-127.0 RE 48.4 RS 44.0 P623 E0006 FX20 M70867512 A88
20201116_095638 0202 HK2 :0002022b t582128.2 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P999 E0006 FX22 M0 A0
20201116_095639 0203 HK2 :0002023b t582128.7 S VM-127.0 RM 46.9 VE-127.0 RE 45.6 RS 44.0 P384 E0006 FX20 M85900304 A69
20201116_095639 0301 HK2 :0002031b t582307.8 S VM-127.0 RM 46.3 VE-127.0 RE 47.8 RS 44.0 P562 E0004 FX20 M73015024 A92
20201116_095640 0302 HK2 :0002032b t582308.3 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0007 FX44 M720 A0
20201116_095641 0303 HK2 :0002033b t582309.5 S VM-127.0 RM 44.5 VE-127.0 RE 50.4 RS 44.0 P547 E0006 FX20 M96637792 A81
20201116_095641 0401 HK2 :0002041b t581424.2 S VM-127.0 RM 47.6 VE-127.0 RE 49.6 RS 44.0 P579 E0006 FX20 M75162440 A93
20201116_095642 0402 HK2 :0002042b t581424.7 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E000D FX44 M703 A0
20201116_095642 0403 HK2 :0002043b t581425.3 S VM-127.0 RM 50.9 VE-127.0 RE 50.2 RS 44.0 P787 E0004 FX20 M92342896 A83
20201116_095643 0501 HK2 :0002051b t581312.7 S VM-127.0 RM 47.1 VE-127.0 RE 47.6 RS 44.0 P590 E0006 FX20 M70867520 A93
20201116_095644 0502 HK2 :0002052b t581314.2 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0007 FX44 M705 A0
20201116_095646 0503 HK2 :0002053b t581316.0 S VM-127.0 RM 48.2 VE-127.0 RE 50.5 RS 44.0 P575 E0004 FX20 M88047696 A82
20201116_095647 0601 HK2 :0002061b t581310.5 S VM-127.0 RM 49.8 VE-127.0 RE 47.4 RS 44.0 P294 E0006 FX20 M70867552 A104
20201116_095649 0602 HK2 :0002062b t581312.0 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0005 FX44 M700 A0
20201116_095650 0603 HK2 :0002063b t581313.2 S VM-127.0 RM 40.9 VE-127.0 RE 47.6 RS 44.0 P107 E0004 FX20 M64425364 A47
20201116_095652 0701 HK2 :0002071b t5933.5 S VM-127.0 RM 46.4 VE-127.0 RE 40.0 RS  0.0 P167 E0000 FX20 M131 A5
20201116_095653 0702 HK2 :0002072b t5934.7 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0001 FX44 M86 A0
20201116_095654 0703 HK2 :0002073b t5935.5 S VM-127.0 RM 46.2 VE-127.0 RE 40.0 RS  0.0 P268 E0000 FX20 M171 A6
20201116_095656 0801 HK2 :0002081b t581332.8 W VM-127.0 RM 48.4 VE 70.0 RE 48.8 RS 45.7 P999 E0006 FX22 M5018698800 A4852
20201116_095658 0802 HK2 :0002082b t581334.5 W VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P999 E0005 FX44 M688 A0
20201116_095659 0803 HK2 :0002083b t581335.4 W VM-127.0 RM 50.1 VE 70.0 RE 50.6 RS 45.7 P999 E0004 FX22 M4928511000 A4706
20201116_095700 0901 HK2 :0002091b t566885.9 S VM-127.0 RM 46.7 VE-127.0 RE 47.9 RS 44.0 P622 E0006 FX20 M543 A4
20201116_095701 0902 HK2 :0002092b t566886.8 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0005 FX44 M704 A0
20201116_095703 0903 HK2 :0002093b t566888.4 S VM-127.0 RM 45.6 VE-127.0 RE 42.1 RS 44.0 P696 E0004 FX20 M224 A0
20201116_095705 0A01 HK2 :00020A1b t566818.2 S VM-127.0 RM 47.5 VE-127.0 RE 50.4 RS 44.0 P888 E000E FX20 M472 A0
20201116_095707 0A02 HK2 :00020A2b t566821.2 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0007 FX44 M719 A0
20201116_095709 0A03 HK2 :00020A3b t566823.2 S VM-127.0 RM 51.5 VE-127.0 RE 47.9 RS 44.0 P000 E0004 FX21 M281 A363
20201116_095710 0B01 HK2 :00020B1b t471758.6 S VM-127.0 RM 47.8 VE-127.0 RE 46.3 RS 44.0 P897 E0006 FX20 M522 A11
20201116_095711 0B02 HK2 :00020B2b t471759.6 S VM-127.0 RM-127.0 VE-127.0 RE 40.0 RS  0.0 P999 E0007 FX44 M718 A0
20201116_095712 0B03 HK2 :00020B3b t471760.2 S VM-127.0 RM 45.3 VE-127.0 RE 45.7 RS 44.0 P503 E0006 FX20 M230 A4
