20201122_093056 0101 HK2 :0002011b t1024833.9 S VM-127.0 RM 46.4 VE 20.4 RE 46.3 RS 44.0 P728 E0006 FX20 M606 A0
20201122_093057 0102 HK2 :0002012b t1024834.7 S VM-127.0 RM-127.0 VE 20.4 RE 40.0 RS  0.0 P999 E0005 FX44 M1221 A0
20201122_093058 0103 HK2 :0002013b t1024835.5 S VM-127.0 RM 46.8 VE 20.4 RE 46.6 RS 44.0 P835 E0004 FX20 M342 A0
20201122_093059 0201 HK2 :0002021b t1099412.3 S VM-127.0 RM 50.3 VE 20.4 RE 50.6 RS 44.0 P999 E0006 FX22 M4413152300 A4552
20201122_093100 0202 HK2 :0002022b t1099413.6 S VM 70.0 RM 40.0 VE 70.0 RE 40.0 RS  0.0 P999 E0006 FX22 M0 A0
20201122_093101 0203 HK2 :0002023b t1099414.7 S VM-127.0 RM 40.9 VE 20.4 RE 40.7 RS 44.0 P999 E0006 FX22 M4327259600 A4319
20201122_093101 0301 HK2 :0002031b t1099750.5 S VM-127.0 RM 49.6 VE 20.4 RE 49.7 RS 44.0 P535 E0004 FX20 M4426036200 A4598
20201122_093102 0302 HK2 :0002032b t1099751.0 S VM-127.0 RM-127.0 VE 20.4 RE 40.0 RS  0.0 P999 E0007 FX44 M1234 A0
20201122_093102 0303 HK2 :0002033b t1099751.5 S VM-127.0 RM 49.5 VE 20.4 RE 49.5 RS 44.0 P000 E0006 FX21 M4438920700 A4455
20201122_093103 0401 HK2 :0002041b t1098083.0 S VM-127.0 RM 49.5 VE 20.4 RE 49.8 RS 44.0 P999 E0006 FX22 M4398121000 A4525
20201122_093104 0402 HK2 :0002042b t1098083.5 S VM-127.0 RM-127.0 VE 20.4 RE 40.0 RS  0.0 P999 E000D FX44 M1220 A0
20201122_093104 0403 HK2 :0002043b t1098084.1 S VM-127.0 RM 49.7 VE 20.4 RE 49.9 RS 44.0 P535 E0004 FX20 M4449657300 A4440
20201122_093105 0501 HK2 :0002051b t1097871.8 S VM-127.0 RM 50.9 VE 20.4 RE 50.8 RS 44.0 P999 E0006 FX22 M4209146100 A4345
20201122_093105 0502 HK2 :0002052b t1097872.3 S VM-127.0 RM-127.0 VE 20.4 RE 40.0 RS  0.0 P999 E0007 FX44 M1181 A0
20201122_093106 0503 HK2 :0002053b t1097873.0 S VM-127.0 RM 47.8 VE 20.4 RE 47.9 RS 44.0 P999 E0004 FX22 M4275721500 A4292
20201122_093107 0601 HK2 :0002061b t1097857.8 S VM-127.0 RM 49.5 VE 20.4 RE 49.8 RS 44.0 P999 E0006 FX22 M4419594800 A4603
20201122_093107 0602 HK2 :0002062b t1097858.3 S VM-127.0 RM-127.0 VE 20.4 RE 40.0 RS  0.0 P999 E0005 FX44 M1224 A0
20201122_093108 0603 HK2 :0002063b t1097858.9 S VM-127.0 RM 49.2 VE 20.4 RE 48.3 RS 44.0 P000 E0004 FX21 M3929960400 A3739
20201122_093108 0701 HK2 :0002071b t522840.9 S VM-127.0 RM 39.7 VE 20.4 RE 40.1 RS 38.0 P036 E0006 FX20 M1284 A33
20201122_093109 0702 HK2 :0002072b t522841.5 S VM-127.0 RM-127.0 VE 20.4 RE 40.0 RS  0.0 P999 E0005 FX44 M642 A0
20201122_093110 0703 HK2 :0002073b t522842.6 S VM-127.0 RM 42.0 VE 20.4 RE 42.4 RS 38.0 P189 E0004 FX20 M1160 A10
20201122_093112 0801 HK2 :0002081b t1097921.7 W VM-127.0 RM 51.6 VE 70.0 RE 51.6 RS 45.7 P000 E0006 FX21 M9143715800 A9190
20201122_093113 0802 HK2 :0002082b t1097922.7 W VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P999 E0007 FX44 M1186 A0
20201122_093114 0803 HK2 :0002083b t1097924.3 W VM-127.0 RM 49.6 VE 70.0 RE 49.6 RS 45.7 P000 E0004 FX21 M9053528100 A9065
20201122_093116 0901 HK2 :0002091b t1083384.0 S VM-127.0 RM 48.4 VE 20.4 RE 48.5 RS 44.0 P964 E0006 FX20 M1255 A4
20201122_093117 0902 HK2 :0002092b t1083384.6 S VM-127.0 RM-127.0 VE 20.4 RE 40.0 RS  0.0 P999 E0005 FX44 M1260 A0
20201122_093119 0903 HK2 :0002093b t1083386.8 S VM-127.0 RM 47.8 VE 20.4 RE 48.1 RS 44.0 P652 E0004 FX20 M1205 A0
20201122_093120 0A01 HK2 :00020A1b t1083725.7 S VM-127.0 RM 46.8 VE 20.4 RE 46.6 RS 44.0 P926 E000E FX20 M710 A0
20201122_093121 0A02 HK2 :00020A2b t1083727.3 S VM-127.0 RM-127.0 VE 20.4 RE 40.0 RS  0.0 P999 E0007 FX44 M1255 A0
20201122_093122 0A03 HK2 :00020A3b t1083728.3 S VM-127.0 RM 48.3 VE 20.4 RE 48.3 RS 44.0 P535 E0004 FX20 M20184 A1966
20201122_093123 0B01 HK2 :00020B1b t988521.3 S VM-127.0 RM 40.4 VE 20.4 RE 40.4 RS 44.0 P936 E0006 FX20 M1321 A11
20201122_093125 0B02 HK2 :00020B2b t988522.6 S VM-127.0 RM-127.0 VE 20.4 RE 40.0 RS  0.0 P999 E0007 FX44 M1270 A0
20201122_093128 0B03 HK2 :00020B3b t988525.4 S VM-127.0 RM 45.2 VE 20.4 RE 45.3 RS 44.0 P322 E0006 FX20 M1288 A8
20201122_093128 0C01 HK2 :00020C1b t1083580.2 S VM-127.0 RM 45.2 VE 20.4 RE 45.1 RS 44.0 P999 E0006 FX20 M792 A126
20201122_093130 0C02 HK2 :00020C2b t1083581.9 S VM-127.0 RM-127.0 VE 20.4 RE 40.0 RS  0.0 P999 E0007 FX44 M1235 A0
20201122_093132 0C03 HK2 :00020C3b t1083583.3 S VM-127.0 RM 45.6 VE 20.4 RE 45.6 RS 44.0 P778 E0004 FX20 M491 A59
20201122_093133 1E01 HK2 :00021E1b t1097879.4 W VM 56.1 RM 48.0 VE 70.0 RE 48.0 RS 45.7 P000 E0005 FX44 M17887971000 A0
20201122_093135 1E02 HK2 :00021E2b t1097881.3 W VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P999 E0005 FX44 M1294 A0
20201122_093137 1E03 HK2 :00021E3b t1097882.8 S VM-127.0 RM-127.0 VE 70.0 RE 40.0 RS  0.0 P999 E0005 FX44 M802 A0
20201122_093457 0101 HK2 :0002011b t1025075.1 W VM-127.0 RM 46.6 VE 56.1 RE 46.4 RS 44.9 P728 E0006 FX20 M606 A0
20201122_093459 0102 HK2 :0002012b t1025076.3 W VM-127.0 RM-127.0 VE 56.1 RE 40.0 RS  0.0 P999 E0005 FX44 M1221 A0
20201122_093500 0103 HK2 :0002013b t1025077.4 W VM-127.0 RM 47.0 VE 56.1 RE 46.9 RS 44.9 P835 E0004 FX20 M342 A0
